TIENDA_ID,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,DATASET
970,2,C,Peatonal,83.47,26.09231,-98.27756,Oficinistas,UT_TRAFICO_PEATONAL,TEST
980,2,C,Receso,102,26.04998,-98.26469,Parada Técnica,UT_GAS_URBANA,TEST
1040,2,C,Hogar,0,26.22708,-98.59373,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
1050,2,C,Hogar,0,26.00053,-98.12136,Hogar Reunión,UT_DENSIDAD,TEST
1020,2,C,Hogar,116.9,26.0037,-98.21478,Hogar Reunión,UT_DENSIDAD,TEST
1030,2,C,Receso,121.3,26.40152,-99.02246,Barrio Competido,UT_TRAFICO_PEATONAL,TEST
900,2,D,Hogar,101.7,26.09463,-98.27624,Parada Técnica,UT_TRAFICO_VEHICULAR,TEST
910,2,B,Hogar,120,26.07035,-98.31583,Clásico,UT_TRAFICO_VEHICULAR,TEST
880,2,CD,Hogar,123.5,26.01423,-98.24383,Hogar Reunión,UT_DENSIDAD,TEST
890,2,C,Hogar,85,26.07414,-98.29503,Clásico,UT_TRAFICO_VEHICULAR,TEST
950,2,C,Hogar,96,26.05682,-98.37939,Hogar Reunión,UT_DENSIDAD,TEST
960,2,BC,Hogar,122,26.076,-98.35906,Hogar Reunión,UT_DENSIDAD,TEST
930,2,C,Hogar,123,25.98592,-98.11861,Hogar Reunión,UT_DENSIDAD,TEST
920,2,C,Receso,103.26,26.04594,-98.32752,Parada Técnica,UT_GAS_URBANA,TEST
940,2,C,Hogar,96,26.00612,-98.26558,Hogar Reunión,UT_GAS_URBANA,TEST
10,2,C,Base,0,26.02203,-98.27759,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
220,3,BC,Hogar,0,25.6592,-100.2737,Hogar Reunión,UT_DENSIDAD,TEST
230,3,BC,Hogar,107,25.59252,-100.26626,Hogar Reunión,UT_DENSIDAD,TEST
540,3,B,Hogar,0,25.66336,-100.29983,Oficinistas,UT_TRAFICO_VEHICULAR,TEST
170,3,AB,Hogar,99.66,25.61947,-100.2962,Clásico,UT_DENSIDAD,TEST
190,3,BC,Hogar,122.4,25.66369,-100.40288,Clásico,UT_TRAFICO_PEATONAL,TEST
290,3,B,Base,115.2,25.65722,-100.41022,Clásico,UT_DENSIDAD,TEST
630,3,C,Base,0,25.6669,-100.36854,Oficinistas,UT_TRAFICO_VEHICULAR,TEST
300,3,AB,Receso,110.16,25.65963,-100.37711,Oficinistas,UT_TRAFICO_VEHICULAR,TEST
330,3,C,Hogar,103,25.6105,-100.2755,Clásico,UT_DENSIDAD,TEST
410,3,C,Base,109.45,25.66572,-100.34924,Parada Técnica,UT_TRAFICO_PEATONAL,TEST
120,3,B,Hogar,0,25.61191,-100.26589,Hogar Reunión,UT_DENSIDAD,TEST
460,3,C,Hogar,0,25.61702,-100.2672,Hogar Reunión,UT_DENSIDAD,TEST
420,3,BC,Receso,99.19,25.6477,-100.32508,Oficinistas,UT_TRAFICO_PEATONAL,TEST
140,3,AB,Base,96.44,25.65163,-100.36603,Oficinistas,UT_TRAFICO_VEHICULAR,TEST
390,3,BC,Base,92.85,25.58368,-100.24482,Hogar Reunión,UT_DENSIDAD,TEST
50,4,CD,Hogar,97.46,25.64554,-100.11852,Hogar Reunión,UT_DENSIDAD,TEST
60,4,C,Hogar,103.13,25.66498,-100.11058,Hogar Reunión,UT_DENSIDAD,TEST
710,4,C,Hogar,0,25.61985,-100.08667,Hogar Reunión,UT_DENSIDAD,TEST
660,4,B,Base,0,25.64418,-100.08754,Oficinistas,UT_TRAFICO_VEHICULAR,TEST
280,4,C,Hogar,108.72,25.63786,-100.08575,Hogar Reunión,UT_CARRETERA_GAS,TEST
110,4,B,Hogar,0,25.63918,-100.16534,Hogar Reunión,UT_DENSIDAD,TEST
830,4,C,Peatonal,135.54,25.6314,-100.0763,Parada Técnica,UT_DENSIDAD,TEST
850,4,C,Peatonal,118.65,25.69801,-100.10738,Parada Técnica,UT_TRAFICO_VEHICULAR,TEST
860,4,C,Hogar,0,25.67817,-100.08228,Hogar Reunión,UT_DENSIDAD,TEST
870,4,C,Hogar,0,25.62764,-100.08193,Hogar Reunión,UT_DENSIDAD,TEST
180,4,BC,Base,110,25.64886,-100.18946,Hogar Reunión,UT_GAS_URBANA,TEST
750,4,C,Hogar,0,25.67441,-100.07811,Hogar Reunión,UT_DENSIDAD,TEST
80,4,CD,Hogar,105.15,25.68649,-100.11501,Hogar Reunión,UT_DENSIDAD,TEST
490,4,B,Hogar,0,25.6297,-100.16679,Hogar Reunión,UT_DENSIDAD,TEST
480,4,B,Hogar,0,25.61112,-100.18237,Hogar Reunión,UT_DENSIDAD,TEST
580,4,C,Base,131.83,25.65844,-100.18114,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
470,4,C,Hogar,117.3,25.66256,-100.14265,Hogar Reunión,UT_DENSIDAD,TEST
590,4,C,Hogar,0,25.66311,-100.09819,Hogar Reunión,UT_DENSIDAD,TEST
520,4,C,Hogar,116.19,25.65117,-100.20825,Hogar Reunión,UT_DENSIDAD,TEST
610,4,C,Hogar,112.19,25.66385,-100.19258,Hogar Reunión,UT_DENSIDAD,TEST
620,4,C,Base,0,25.66257,-100.08142,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
400,5,C,Hogar,112.2,25.82921,-100.1168,Hogar Reunión,UT_DENSIDAD,TEST
640,5,C,Hogar,109.9,25.78546,-100.18814,Hogar Reunión,UT_DENSIDAD,TEST
530,5,C,Hogar,122.3,25.80671,-100.22148,Hogar Reunión,UT_DENSIDAD,TEST
440,5,C,Hogar,115.67,25.76065,-100.1726,Hogar Reunión,UT_DENSIDAD,TEST
370,5,C,Hogar,94.5,25.7656,-100.141,Hogar Reunión,UT_DENSIDAD,TEST
450,5,C,Hogar,105.24,25.81408,-100.08988,Parada Técnica,UT_DENSIDAD,TEST
350,5,C,Receso,105,25.83016,-100.2588,Parada Técnica,UT_CARRETERA_GAS,TEST
430,5,C,Hogar,108.17,25.76521,-100.13326,Hogar Reunión,UT_DENSIDAD,TEST
150,5,BC,Peatonal,124.32,25.77799,-100.1866,Oficinistas,UT_GAS_URBANA,TEST
570,5,C,Hogar,107.57,25.82679,-100.2165,Hogar Reunión,UT_DENSIDAD,TEST
760,5,C,Hogar,117.15,25.7837,-100.2409,Hogar Reunión,UT_DENSIDAD,TEST
270,5,B,Receso,118.72,25.8346,-100.25473,Parada Técnica,UT_CARRETERA_GAS,TEST
600,5,B,Hogar,109.52,25.75278,-100.10049,Clásico,UT_DENSIDAD,TEST
250,5,C,Hogar,118.93,25.7658,-100.23715,Hogar Reunión,UT_DENSIDAD,TEST
90,6,C,Hogar,125.84,25.60197,-100.07752,Hogar Reunión,UT_DENSIDAD,TEST
20,6,C,Base,100,25.58304,-99.99446,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
700,6,C,Hogar,0,25.58192,-100.01301,Hogar Reunión,UT_DENSIDAD,TEST
100,6,C,Hogar,92.11,24.88429,-99.6744,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
30,6,C,Base,81,24.85727,-99.55978,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
690,6,C,Receso,0,25.38832,-100.14638,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
40,6,C,Receso,79.71,25.30376,-100.00144,Parada Técnica,UT_CARRETERA_GAS,TEST
70,6,C,Receso,113.91,25.60258,-99.97412,Parada Técnica,UT_CARRETERA_GAS,TEST
780,6,C,Receso,0,25.51353,-100.19835,Parada Técnica,UT_TRAFICO_VEHICULAR,TEST
820,6,C,Receso,0,25.25323,-99.69956,Parada Técnica,UT_GAS_URBANA,TEST
160,6,BC,Base,108.3,25.40522,-100.13417,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
740,6,C,Hogar,0,25.5982,-99.992,Hogar Reunión,UT_DENSIDAD,TEST
720,6,C,Hogar,0,25.60253,-99.99317,Hogar Reunión,UT_DENSIDAD,TEST
130,6,CD,Base,110.06,25.36439,-100.10202,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
320,6,C,Hogar,122,25.57214,-100.01371,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
510,6,B,Hogar,0,25.19747,-99.83198,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
500,6,B,Hogar,0,25.60256,-100.08093,Hogar Reunión,UT_DENSIDAD,TEST
