TIENDA_ID,AÑO,MES,VENTA_TOTAL
126,2024,6,78331.04
246,2023,2,81046.66
1022,2023,6,81257.57
895,2023,9,81768.28
826,2023,6,82165.28
873,2024,12,84593.65
816,2023,11,87347.47
30,2024,3,89497.7
717,2023,11,89741.1
11,2023,3,92265.46
353,2023,8,92805.22
797,2024,12,93688.15
383,2023,6,93719.02
909,2023,8,94535.36
830,2023,9,95854.47
29,2023,5,97907.58
850,2024,12,98795.18
912,2024,6,102112.28
1010,2024,5,102446.58
823,2023,6,103314.02
441,2023,11,104047.89
856,2024,2,106055.83
126,2024,5,106176.42
171,2024,2,106526.78
117,2023,6,108187.68
53,2023,8,108562.62
607,2023,9,111407.6
859,2024,12,111812.78
818,2024,12,113237.47
822,2023,7,113311.09
862,2024,6,113466.5
401,2023,6,113613.67
141,2024,2,115339.51
717,2023,3,117543.21
401,2023,5,118092.05
275,2024,12,121380.24
33,2023,4,122297.05
397,2023,10,125139.5
847,2024,12,125198
870,2024,6,126626.81
383,2023,7,127963.36
911,2024,6,128921.38
827,2024,3,129188.73
246,2023,3,129769.7
598,2023,7,130814.29
817,2023,6,135812.66
410,2024,3,137929.15
683,2024,12,138531.66
874,2024,7,139562.55
20,2023,9,139841.44
606,2023,7,140129.47
861,2024,12,145100.73
852,2024,6,145651.5
847,2023,12,148077.61
210,2023,12,148161.02
899,2024,5,148183.11
141,2024,3,150401.2
820,2024,12,152067.36
346,2023,5,154920.85
1,2023,2,155325.03
763,2024,12,155734.51
899,2024,4,156134.95
464,2024,12,158746.28
839,2023,11,159515.83
668,2024,12,159705.05
851,2024,3,160484.4
865,2024,12,162169.51
821,2023,6,163153.48
199,2023,6,164835.63
516,2024,12,165008.29
858,2024,12,165304.73
495,2024,12,165395
1038,2023,2,165434.71
413,2023,3,166194.82
466,2024,12,168506.64
259,2024,12,169758.56
535,2024,12,172257.68
891,2023,4,172412.67
867,2024,12,173864.49
104,2023,8,174859.82
770,2024,12,175131.31
820,2023,11,175191.52
562,2023,10,175298.75
835,2023,10,179100.5
11,2023,2,180167.22
464,2024,11,180792.91
346,2023,4,180883.04
684,2024,12,182077.04
51,2023,6,182521.22
873,2024,6,183351.37
391,2023,2,185848.97
628,2023,11,186299.56
70,2024,7,187118.73
74,2023,8,187291.96
847,2024,1,187405.79
56,2024,12,188214.25
407,2023,11,189913.93
975,2023,2,191783.9
321,2024,12,192454.71
547,2024,12,193727.1
31,2024,3,194806.61
868,2024,12,194930.95
714,2024,12,195148.25
790,2024,12,198402.16
709,2023,8,198479.55
818,2023,11,199921.75
194,2023,3,200990.27
42,2024,3,201053.9
747,2024,12,201108.7
632,2023,11,202283.54
486,2024,12,203835.75
607,2024,12,204201.18
184,2024,7,204880.79
447,2023,2,206125.28
818,2024,2,206243.77
269,2024,12,208002.77
224,2023,7,208098.47
860,2024,3,208530.2
926,2023,8,209484.31
935,2023,5,211181.91
532,2024,12,211869.46
525,2024,12,212840.74
1030,2024,12,213524.38
688,2024,12,214077.69
646,2024,12,215799.11
677,2024,12,216088.8
399,2024,12,216216.75
698,2023,11,217533.94
198,2024,3,217698.34
818,2023,12,217880.4
847,2024,2,218909.56
290,2023,5,219415.94
701,2024,12,220407.72
529,2024,12,220887.92
962,2023,5,222275.69
698,2023,10,222932.16
954,2024,7,223042.57
15,2024,12,223343.73
957,2024,5,223530.58
398,2023,5,224194.42
830,2024,12,224338.18
698,2024,12,224549.3
848,2024,3,224785.38
660,2024,12,225253.66
742,2024,12,227330.63
673,2024,12,227643.95
877,2023,7,227663.18
10,2024,12,228085.66
644,2024,12,228133.03
452,2024,7,228453.93
684,2024,1,229911.51
872,2024,12,230237.36
326,2024,12,230306.55
880,2023,5,230438.14
146,2023,4,230585.54
870,2024,12,230911.78
64,2024,12,231280.75
663,2024,12,231515.31
709,2024,12,231551.76
739,2023,1,231781.26
104,2024,12,231851.66
829,2024,12,232496.31
637,2024,12,233448.55
233,2024,12,233535.67
952,2023,6,233756.6
726,2023,5,234601.42
42,2024,4,234707.24
347,2023,6,235038.2
632,2023,10,235118.15
825,2024,12,235472.19
739,2024,12,235977.89
566,2024,12,237180.87
859,2024,7,238417.91
633,2023,12,238813.77
111,2024,12,239272.73
818,2024,3,239562.29
44,2023,4,239848.71
873,2024,5,239905.73
714,2024,11,240774.57
117,2024,12,240896.39
489,2024,12,240994.13
266,2024,12,242154.24
39,2024,12,243459.76
732,2024,12,243849.11
517,2024,12,243953.32
568,2023,4,244717.7
849,2024,12,245112.9
873,2024,11,245165.76
38,2024,12,245778.1
693,2024,12,246106.48
818,2024,1,246599.57
837,2023,11,246819.42
826,2024,12,246969.8
818,2024,11,247937.87
191,2024,12,248865.6
737,2024,12,251250.14
847,2024,3,251427.08
673,2023,8,251580.82
859,2024,11,252496.38
842,2024,12,252720.33
880,2023,1,252771.16
33,2023,3,253601.97
698,2023,1,253716.33
815,2024,12,253932.38
873,2024,7,253998.56
623,2024,12,254200.31
832,2024,12,255052.56
866,2024,12,255939.79
558,2024,12,256124.42
265,2024,12,256211.47
441,2024,12,256398.59
240,2024,7,256597.72
43,2024,12,257172.12
341,2023,2,257635.03
812,2024,12,259730.92
382,2024,12,259900.72
358,2024,12,260238.36
104,2024,2,260256.18
93,2024,12,260294.17
770,2023,1,260638.79
739,2023,2,260678.97
858,2024,4,260705.05
770,2023,2,261693.17
419,2024,7,262666.35
19,2023,2,262711.11
911,2024,12,262996.58
763,2023,11,263787.46
455,2023,12,263932.98
537,2024,12,264839.48
398,2023,4,264898.75
73,2024,12,265125.65
744,2024,12,265778.97
328,2024,12,266202.61
873,2024,4,266343.39
614,2024,12,268746.83
768,2023,11,268804.2
648,2024,12,270016.64
692,2023,10,271075.42
912,2024,5,271409.95
54,2023,5,271546.02
58,2024,12,271859.06
818,2024,4,271941.38
800,2023,1,272007.04
668,2024,11,272074.88
683,2023,10,272276.26
37,2024,12,272675.37
852,2024,12,272680.35
1037,2024,12,272955.75
455,2023,10,273117.52
19,2023,1,273286.22
104,2023,9,273697.8
851,2024,12,274024.55
874,2024,12,274067.32
35,2024,12,274510.19
376,2024,12,275364.63
847,2024,4,275584.13
618,2024,12,275649.42
11,2024,12,275718.67
585,2024,12,276072.82
658,2024,12,276170.84
709,2023,5,276377.23
562,2024,12,276394.28
409,2024,12,277358.82
763,2023,12,277872.84
846,2024,12,278163.77
909,2024,12,278250.58
881,2024,12,279236.15
673,2023,7,279306.27
616,2024,12,279317.33
887,2024,12,279347.94
818,2024,6,280175.43
632,2023,9,280433.61
499,2024,12,280516.37
572,2024,12,280611.7
837,2024,12,280620.78
797,2023,1,281455.88
32,2024,12,283191.87
818,2024,7,283787.94
800,2023,2,284079.41
450,2024,3,284624.45
863,2024,12,285163.8
15,2023,1,285209.95
361,2024,12,285566.94
400,2024,12,285581.47
801,2024,12,285718.13
463,2024,12,286041.59
488,2024,12,286048.34
71,2024,12,286157.39
763,2023,5,286502.9
860,2024,12,286668.79
653,2024,12,287065.93
739,2023,4,287535.06
104,2023,11,287919.98
816,2024,12,288368.88
711,2024,12,288550.25
865,2024,11,288620.68
754,2024,12,288799.95
297,2024,12,289326.44
386,2024,12,289464.01
794,2024,12,289720.2
835,2024,12,289759.32
749,2024,12,290099.74
903,2024,12,290865.31
347,2024,12,290944.24
793,2024,12,291400.11
547,2023,11,292341.96
615,2024,12,292377.28
861,2024,7,292496.64
447,2023,1,292934.15
627,2024,12,293216.86
603,2024,12,293594.51
763,2023,1,293756.22
275,2024,11,294103.63
635,2024,12,294130.64
831,2023,11,294176.01
659,2024,12,294346.46
29,2024,12,294367.48
828,2024,12,294837.61
862,2024,12,294911.62
441,2024,11,295712.86
656,2024,12,295728.49
804,2023,3,295852.45
763,2023,3,295918.22
195,2024,12,296170.12
959,2024,12,296192.78
763,2023,2,296280.7
775,2024,12,297201.87
698,2023,2,297430.58
19,2024,12,297955.97
729,2024,12,298131.83
820,2023,12,298360.61
561,2024,12,298808.19
455,2024,12,298889.26
705,2024,12,298935.88
770,2023,4,298941.08
498,2024,12,299275.59
509,2024,12,299288.59
898,2024,12,300395.93
581,2024,12,300480.87
405,2024,1,300805.42
451,2024,12,301297.62
768,2024,12,301857.77
746,2024,12,302475.48
562,2024,2,302840.49
679,2024,12,302856.17
712,2024,12,303229.37
978,2024,12,303287.58
191,2023,12,303554.26
402,2024,7,304190.93
458,2024,12,304937.28
753,2024,12,305501.02
818,2024,5,305732.92
1012,2024,12,306195.98
454,2024,12,306592.39
683,2024,2,306854.48
17,2024,12,307142.51
781,2024,12,307169.04
706,2024,12,307225.88
104,2023,10,307493.72
452,2024,6,307650.27
926,2023,6,308128.73
225,2024,12,308407.53
587,2024,12,308517.4
663,2023,1,308846.12
855,2024,12,308947.31
45,2024,12,308974.8
995,2024,12,309258.52
622,2024,12,309508.86
797,2023,2,309881.25
700,2024,12,309997.03
850,2024,2,310350.39
85,2024,12,310839.31
850,2024,3,311199.94
163,2024,12,311200.56
670,2024,12,311245.58
653,2023,8,311425.05
191,2024,1,311954.49
370,2023,8,311977.31
900,2024,12,312430.36
770,2023,3,312728.07
657,2024,12,313169.03
67,2024,12,313206.93
547,2023,10,313276.89
457,2024,12,313374.81
474,2024,12,314382.11
222,2024,12,314408.34
854,2024,12,314630.24
788,2024,12,314720.16
720,2024,12,314744.05
847,2024,11,314988.5
649,2024,12,315072.37
833,2023,12,315355.77
586,2024,12,315409.53
352,2024,12,315604.65
146,2023,6,316145.82
677,2023,8,316442.54
683,2023,11,317124.97
109,2024,12,317332.86
683,2024,11,317341.15
636,2024,12,317392.06
698,2023,9,317439.1
782,2024,12,317489.26
535,2023,2,318144.21
698,2023,5,318170.23
867,2024,6,318623.57
856,2024,12,319400.07
585,2023,10,319748.54
999,2024,12,319981.64
695,2024,12,320003.18
854,2024,4,320174.63
796,2024,12,320766.1
858,2024,11,320789.41
470,2024,12,320812.69
544,2024,12,321123.28
800,2024,12,321155.81
574,2024,12,321761.54
117,2023,10,321829.66
552,2023,6,321853.91
235,2024,2,321899.79
455,2023,1,322045.36
724,2024,12,322088.2
275,2024,1,323220.52
447,2024,12,323474.51
402,2024,12,323526.37
579,2024,12,323635.4
763,2023,10,324235.75
640,2024,12,324476.93
831,2024,12,324691.87
606,2024,12,324830.84
831,2023,12,325186.97
850,2024,4,325303.19
80,2024,12,325560.54
861,2024,11,325795.99
490,2024,12,325993.06
641,2024,12,326219.53
62,2024,12,326507.78
962,2024,12,326750.82
763,2024,11,326782.26
739,2023,3,326858.74
552,2023,9,326916.71
902,2024,12,327034.02
770,2023,11,327278.8
632,2024,12,327454.44
154,2024,12,328095.24
745,2024,12,328495.35
177,2024,12,328942.53
24,2024,12,329683.24
455,2023,11,329843.54
792,2023,2,329962.3
920,2024,12,330082.27
326,2024,11,330604.37
1044,2024,12,330823.39
770,2024,2,330976.53
793,2023,1,331896.38
949,2024,12,332152.55
256,2024,12,332369.14
845,2024,12,332369.69
820,2024,2,332575.45
621,2024,12,332682.42
709,2023,9,332941.13
742,2023,1,333344.97
675,2024,12,333462.65
858,2024,5,333479.52
41,2024,12,333546.5
947,2024,12,333674.12
619,2024,12,334163.52
789,2024,12,334211.64
710,2024,12,334529.39
1038,2023,1,334566.32
552,2024,12,334692.92
578,2024,12,334987.15
821,2024,12,335025.35
117,2023,11,335064.11
322,2024,12,336037.45
25,2024,3,336816.8
434,2024,12,336957.22
625,2024,12,336996.66
248,2024,12,337148.64
833,2024,2,337154.39
480,2024,12,337185.89
684,2024,2,337475.28
683,2023,4,337540.53
770,2023,5,337662.63
968,2024,12,337780.69
620,2024,12,338153.79
800,2023,3,338228.07
803,2024,12,338656.79
562,2023,11,338977.14
876,2024,12,339071.27
663,2023,2,339111.97
810,2024,12,339203.11
770,2024,3,339529.33
235,2024,12,339530.88
784,2024,12,339546.3
763,2024,2,339784.18
57,2024,12,339839.19
770,2023,10,339863.18
306,2024,12,340194.79
1050,2023,1,340230.93
545,2024,12,340514.56
601,2024,12,340519.16
516,2024,11,340871.7
546,2023,5,341696.67
893,2024,12,341773.82
804,2024,12,342512.7
506,2024,12,343113.19
198,2024,12,343525.89
397,2024,12,343818.14
358,2024,2,344283.55
52,2024,12,344322.04
29,2023,7,344373.36
1,2024,12,344489.01
587,2023,2,344673.48
833,2023,11,344701.67
698,2023,4,344730.22
516,2024,2,344771.85
832,2023,12,345303.01
797,2024,11,345433.26
642,2024,12,345811.34
840,2024,1,345997.46
871,2024,12,346050.97
836,2024,12,346810.26
680,2023,2,347139.89
661,2024,12,347402.11
830,2023,10,347465.59
680,2024,12,347473.74
797,2024,2,347476.54
6,2024,12,347584.15
42,2024,12,347814.6
698,2023,3,347859.63
797,2023,12,348243.26
630,2024,12,348280.55
878,2024,12,348432.56
533,2024,2,348513.93
838,2024,12,348874.53
80,2023,10,348892
844,2024,12,348989.02
1024,2024,12,348989.69
19,2023,3,349337.52
840,2024,12,349594.5
763,2023,4,349792.29
489,2023,12,349793.84
585,2023,11,349862.89
607,2023,2,349964.78
433,2024,12,350512.09
811,2024,12,350531.07
411,2024,12,350721.94
709,2023,6,350761.08
264,2024,12,350838.88
742,2023,2,350849.07
289,2024,12,350858.68
820,2024,11,351776.74
535,2023,10,351797.78
547,2024,2,351847.65
748,2024,12,351854.89
880,2024,12,352264.07
681,2024,12,352343.14
510,2024,12,352465.21
426,2024,12,352561.07
698,2023,8,353335.78
857,2024,3,353429.45
761,2024,12,353458.17
486,2024,2,353575.78
698,2023,7,354275.52
684,2023,1,354649.93
511,2024,12,354804.04
698,2023,6,354952.16
525,2023,1,355474.24
787,2024,12,355586.97
406,2024,1,355608.18
379,2024,12,356216.9
535,2023,12,356273.88
740,2024,12,356391.27
486,2023,1,356497.32
737,2023,1,356534.83
787,2023,1,356572.35
405,2024,12,356588.31
770,2023,12,357096.51
447,2023,3,357458.02
831,2023,10,357477.2
535,2024,2,357596.05
15,2023,2,357601.94
533,2024,12,358396.28
850,2024,11,358596.19
562,2023,9,359121.88
683,2024,3,359894.18
890,2024,12,359927.72
792,2023,1,360221.84
605,2024,12,360322.47
245,2024,12,360371.68
486,2023,2,360574.22
820,2024,4,360643.03
754,2024,11,360792.7
684,2024,11,360957.83
19,2023,4,360960.15
156,2024,12,360977.73
465,2024,12,361067.96
797,2023,11,361182.75
576,2024,12,361490.51
941,2024,12,361609.79
516,2023,11,362208.61
628,2024,12,362444.48
47,2024,12,362662.95
607,2023,11,362739.01
791,2024,12,362758.06
299,2024,12,362947.87
800,2023,4,363011.98
709,2023,11,363087.38
505,2024,12,363388.19
197,2024,12,363440.4
928,2024,12,364180.42
763,2023,6,364527.07
976,2024,12,364646.9
684,2023,2,364702.19
829,2023,7,365398.9
442,2024,12,365556.33
486,2024,1,365695.53
1022,2024,12,366145.46
848,2024,12,366272.2
742,2023,3,366356.97
60,2024,12,366608.44
199,2024,12,366706.48
750,2024,12,367079.32
726,2024,12,367297.87
693,2023,5,367504.44
920,2023,10,367894.77
763,2024,1,367985.71
536,2024,12,368251.2
867,2024,11,368302.92
683,2023,12,368325.92
607,2023,10,368342.67
680,2023,5,368427.77
992,2024,12,369059.15
683,2023,2,369466.76
27,2024,12,369499.25
492,2024,12,369528.14
489,2023,11,369636.22
1031,2024,12,369797.66
531,2024,12,370020.59
683,2023,1,370108.36
357,2024,12,370414.66
486,2023,11,370419.89
74,2024,12,370821.1
830,2023,11,370986.49
769,2024,12,370988.66
203,2024,12,371195.2
525,2023,2,371601.74
547,2024,1,371748.31
121,2024,12,371993.71
277,2024,12,372315.11
770,2024,4,372359.93
275,2023,11,372434.93
685,2024,12,373093.43
535,2023,1,373214.63
516,2023,12,373469.94
486,2024,4,373506.95
879,2024,12,373556.3
787,2023,2,374125.06
535,2023,3,374472.6
313,2024,12,374741.45
535,2024,11,374770.09
846,2024,2,374832.6
879,2023,1,374977.64
244,2024,12,375608.31
833,2024,3,376412.44
12,2024,12,376549.23
991,2024,12,376934.27
304,2024,12,377279.3
547,2024,11,377378.21
867,2024,7,377492.34
739,2023,11,377925.68
191,2023,2,378162.47
376,2023,2,378179.35
387,2024,12,378397.58
632,2023,8,378711.94
693,2023,2,378912.79
246,2024,12,379054.35
663,2023,3,379194.85
770,2024,1,379614.09
528,2024,12,379765.33
424,2024,12,379818.62
797,2024,1,379831.7
376,2023,1,379845.86
693,2023,11,379983.22
795,2024,12,380037.4
645,2024,12,380114.03
886,2024,1,380261.92
762,2024,12,380365.76
737,2023,2,380464.35
788,2023,2,380617.6
1038,2024,12,380761.08
455,2024,1,380924.33
693,2023,10,381630.44
462,2024,12,381667.82
803,2023,3,381892.73
487,2024,12,381962.25
440,2024,2,382026.49
535,2023,4,382059.48
1053,2024,12,382130.76
797,2023,3,382228.56
486,2024,11,382669.11
486,2023,12,382786.33
763,2023,7,383140.4
16,2024,12,383641.15
717,2024,12,384389.65
663,2023,4,384401.51
26,2024,12,384449.92
548,2024,12,384836.66
842,2023,12,384956.13
263,2024,12,385568.42
683,2023,8,385633.54
739,2024,2,386069.06
381,2024,12,386124.99
245,2024,2,386764.69
59,2024,12,386768.03
573,2024,12,386777.01
808,2024,12,387098.07
23,2024,12,387128.57
825,2023,11,387275.44
742,2023,4,387408.35
771,2024,12,387470.37
809,2024,12,387621.62
466,2024,11,387848.94
786,2024,12,387930.36
793,2023,2,388026.05
790,2023,1,388226.57
858,2024,7,388623.56
607,2023,1,388698.87
763,2024,3,388754.96
875,2024,12,389074.63
191,2024,2,389231.85
788,2023,1,389531.04
739,2023,10,389691.76
516,2024,1,389822.71
259,2024,11,389918.14
479,2024,12,390007.96
693,2023,1,390462.71
833,2024,1,390482.05
56,2023,2,390493.92
406,2024,12,390514.51
858,2024,6,390639.48
530,2024,12,390709.63
770,2024,11,390776.61
825,2023,7,390800.5
104,2023,12,390847.07
19,2023,5,390891.64
820,2024,1,391143.49
847,2024,7,391194.93
717,2023,9,391450.59
831,2024,2,392684.2
253,2024,12,392862.77
582,2024,12,392945.64
683,2023,5,393261.22
69,2024,12,393362.87
191,2023,11,393661.72
736,2023,1,393679.53
11,2023,4,393745.94
800,2023,5,393765.49
486,2023,4,393885.93
820,2024,3,393935.57
566,2023,1,394222.08
486,2023,10,394443.5
770,2023,6,394515.41
632,2023,12,394625.79
757,2024,12,394969.13
637,2023,10,395062.56
868,2024,11,395169.01
56,2023,1,395412.09
233,2023,12,395789.12
797,2023,10,396261.64
756,2024,12,396264.29
831,2024,1,396517.63
7,2024,12,396541.34
535,2023,11,396758.11
715,2024,12,397480.59
847,2024,5,397860.96
1021,2024,12,397909.37
562,2024,7,398094.93
688,2023,2,398203.14
656,2023,2,398223.4
663,2024,2,398432.03
815,2023,6,398459.72
983,2024,12,398471.77
417,2024,12,398744.15
829,2023,11,398768.16
770,2023,8,399160.39
80,2023,11,399408.35
76,2024,12,399683.1
486,2024,6,399817.31
825,2023,10,400373.92
103,2024,12,400542.55
46,2024,12,400945.38
626,2024,12,401133.27
117,2023,7,401300.5
699,2024,12,401588.22
89,2024,12,401761.45
842,2024,2,401807.87
837,2023,12,402019.83
288,2024,12,402114.42
839,2024,12,402351.68
683,2023,7,402387.59
458,2024,11,402542.22
990,2024,12,402633.69
1015,2024,12,402643.73
535,2024,3,402695.1
889,2024,12,402784.97
683,2023,6,403104.98
683,2024,4,403129.48
684,2023,3,403508.92
587,2023,1,403704.18
127,2024,12,404174.72
819,2024,12,404181.41
53,2024,12,404367.87
581,2023,2,404373.27
834,2024,12,404573.24
455,2023,2,404733.79
466,2024,2,404766.08
828,2023,12,404781.33
351,2024,12,405130.39
486,2023,3,405354.72
335,2024,12,405422.7
663,2023,11,405661.55
742,2023,12,405709.28
1013,2024,6,406419.72
513,2024,12,406524.8
693,2023,3,406549.84
1004,2024,12,407140.82
516,2023,1,407323.7
775,2023,2,407439.5
10,2023,2,407512.01
53,2023,10,407614.21
577,2024,12,407696.08
526,2024,12,407745.36
547,2024,7,407928.62
835,2023,11,407965.56
643,2024,12,408395.96
684,2023,11,408456.12
969,2024,12,408528.31
344,2024,12,408744.54
191,2024,6,408806.01
594,2023,1,408899.32
56,2024,2,408910.39
552,2023,10,408931.75
466,2023,2,408963.23
829,2023,10,409100.59
489,2023,10,409111.04
516,2024,4,409251.33
761,2023,1,409462.56
188,2024,12,409548.09
455,2023,8,409732.31
655,2024,12,409974.93
683,2023,3,410129.39
607,2023,12,410382.96
516,2023,10,410614.13
191,2023,10,410624.24
739,2023,5,410739.16
684,2024,3,410822.24
709,2024,2,411100.98
44,2024,12,411299.1
797,2024,7,411367.33
516,2023,2,411427.15
482,2024,12,411466.82
718,2024,12,411622.32
124,2024,12,411656.01
486,2024,3,411708.05
817,2024,12,411737.2
486,2024,7,412214.81
794,2023,2,412260.36
763,2023,8,412300.3
663,2024,4,412337.66
770,2023,7,412425.36
208,2024,12,412462.18
832,2024,2,412710.55
646,2024,2,412901.5
739,2024,1,412913.81
388,2024,12,413037.64
377,2024,12,413140.82
566,2023,2,413159.57
340,2024,12,413491.78
19,2023,11,413532.23
656,2023,1,413585.52
269,2024,3,413624.66
128,2024,12,413648.74
101,2024,12,414155.47
219,2023,11,414562.24
1000,2024,12,414610.89
118,2024,12,414720.69
592,2024,12,414957.84
56,2023,11,414977.29
684,2024,6,415231.45
137,2024,12,415357.91
825,2024,2,415414.54
963,2024,12,415508.5
22,2024,12,415612.58
832,2024,1,415645.67
683,2024,7,416120.19
440,2024,12,416206.5
280,2024,12,416710.2
821,2023,11,416716.36
980,2024,12,416867.98
420,2024,12,417113.6
731,2024,12,417115.66
837,2024,2,417258.16
709,2024,1,417455.25
553,2024,12,417478.51
797,2023,4,417754.73
733,2024,12,418256.93
452,2024,12,418459.27
213,2024,12,418879.45
775,2023,1,419001.31
631,2024,12,419030.9
652,2024,12,419073.21
646,2023,2,419264.62
201,2024,12,419376.64
664,2024,12,419660.52
843,2024,12,419743.79
971,2024,12,419898.76
663,2023,5,419964.24
366,2024,12,420136.66
693,2024,2,420565.25
850,2024,6,420977.53
829,2023,8,421279.74
70,2024,12,421548.43
698,2023,12,421628.28
684,2024,4,421974.11
523,2024,12,422018.27
274,2024,12,422195.96
547,2024,6,422210.21
453,2024,12,422217.62
610,2024,12,422218.7
788,2023,3,422288.92
112,2024,12,422608.72
56,2024,11,422780.61
717,2023,4,422942.7
797,2024,3,422950.94
410,2024,12,423180.55
660,2023,1,423309.32
455,2024,2,423429.19
684,2023,10,423456.91
770,2023,9,423621.66
17,2023,1,423703.99
759,2024,12,423735.9
820,2024,6,424085.78
959,2023,2,424406.13
566,2023,11,424543.67
688,2023,1,424707.58
150,2024,12,424713.89
562,2024,3,424835.92
691,2024,12,424873.12
515,2024,12,425159.66
797,2023,8,425281.26
884,2024,12,425455.55
1013,2024,7,425597.37
697,2024,12,425760.5
516,2024,3,425776.72
590,2024,12,425795.41
868,2024,7,425875.42
275,2024,2,426048.33
771,2023,8,426353.03
688,2023,4,426612.92
896,2024,12,426719.87
709,2023,10,426926.35
987,2024,12,427223.24
481,2024,12,427379.45
829,2024,2,427483.07
825,2023,8,427638.38
329,2024,12,427716.96
763,2023,9,427762.57
796,2023,1,427916.94
486,2023,5,427981.96
737,2023,11,428296.09
985,2024,12,428300.3
500,2024,12,428318.53
825,2023,12,428379.16
820,2024,5,428541.67
784,2023,2,428769.95
673,2023,1,428863.68
51,2023,7,428900.61
546,2024,12,430199.11
267,2024,12,430833.43
466,2023,1,430953.15
202,2024,12,431296.95
790,2023,2,431630.5
191,2023,1,431926.66
193,2024,12,432039.79
707,2023,2,432059.49
770,2024,6,432097.29
117,2023,1,432118.34
475,2024,12,432149.87
476,2024,12,432495.37
783,2023,2,432606.51
684,2023,12,432625.69
803,2023,4,432847.7
739,2023,12,433289.14
549,2024,12,433505.98
971,2023,1,433554.25
845,2024,2,433623.66
81,2024,12,433681.76
763,2024,4,433693.22
466,2023,10,433776.26
723,2024,12,433793.2
466,2023,11,434280.24
525,2024,2,434307.46
846,2024,3,434396.38
535,2023,8,434397.49
585,2023,1,434449.4
525,2023,3,434660.3
501,2024,12,434842.87
28,2024,12,434895.62
581,2023,1,434939.2
586,2023,5,435441.41
802,2024,12,435474.28
1003,2024,12,435579.38
519,2024,12,435580.72
844,2023,12,435613
684,2023,5,435677.01
466,2023,3,435697.02
824,2023,11,435917.05
547,2024,4,435964.02
850,2024,7,436075.39
153,2024,12,436298.56
939,2024,12,436519.72
758,2024,12,436656.91
77,2024,12,436671.79
837,2024,1,436887.13
466,2024,7,437027.06
847,2024,6,437080.42
466,2024,3,437217.94
19,2023,10,437235.09
857,2024,12,437318.37
596,2024,12,437318.82
607,2024,11,438175
151,2024,12,438238.69
514,2024,12,438278.81
787,2023,3,438327.71
684,2023,4,438380.52
19,2024,2,438428.82
932,2024,12,438460.98
191,2024,4,438569.66
138,2023,4,438591.06
275,2023,12,439180.36
1030,2023,2,439279.94
593,2024,12,439284.4
1027,2024,12,439327.39
823,2024,12,439579.41
742,2023,11,439907.95
206,2024,12,440049.68
734,2024,12,440215.97
1026,2024,12,440436.26
656,2023,3,440706.62
784,2023,1,440785.17
840,2024,2,441526.09
1053,2023,8,441663.74
686,2024,12,441889.14
607,2023,3,442118.22
19,2023,6,442838.53
233,2023,2,442882.99
806,2024,12,442983.94
793,2023,3,443183.34
471,2024,12,443297.21
663,2024,1,443324.41
294,2024,12,443552.27
466,2024,4,444209.96
1009,2024,12,444235.9
660,2023,2,444662.28
637,2023,11,444667.33
709,2023,12,444683.39
830,2023,12,444712.28
